user_no,product_id,product_name,brand,topcat_name,category_name,price,base_image_url,score_0_100,rank
28,keyboard:앱코-ak84bt-블루투스-무선-슬림-기계식-화이트-그레이,앱코 AK84BT 블루투스 무선 슬림 기계식 화이트 그레이,앱코,Keyboard,Keyboard,49000.0,https://img.danawa.com/prod_img/500000/133/075/img/73075133_1.jpg?shrink=330:*&_v=20241220164728,25.581268310546875,7
28,mouse:benq-zowie-s1-레드-v2,BenQ ZOWIE S1 레드 V2,BenQ,Mouse,Mouse,79000.0,https://img.danawa.com/prod_img/500000/362/511/img/17511362_1.jpg?shrink=330:*&_v=20220721163710,24.377546310424805,8
28,keyboard:로지텍-mk275-정품,로지텍 MK275 (정품),로지텍,Keyboard,Keyboard,30890.0,https://img.danawa.com/prod_img/500000/134/340/img/4340134_1.jpg?shrink=330:*&_v=20200213103709,24.67458724975586,9
28,mouse:corsair-dark-core-rgb-pro-se,CORSAIR DARK CORE RGB PRO SE,CORSAIR,Mouse,Mouse,151000.0,https://img.danawa.com/prod_img/500000/373/433/img/10433373_1.jpg?shrink=330:*&_v=20221012154830,23.43195152282715,10
28,keyboard:앱코-k640t-slim-축교환-무빙led-텐키리스-기계식-화이트,앱코 K640T SLIM 축교환 무빙LED 텐키리스 기계식 화이트,앱코,Keyboard,Keyboard,28900.0,https://img.danawa.com/prod_img/500000/614/282/img/15282614_1.jpg?shrink=330:*&_v=20240910151922,23.26428985595703,11
28,keyboard:fl-esports-geo75-유무선-기계식-드림-그린,FL-ESPORTS Geo75 유무선 기계식 드림 그린,FL-ESPORTS,Keyboard,Keyboard,115430.0,https://img.danawa.com/prod_img/500000/722/501/img/90501722_1.jpg?shrink=330:*&_v=20251211150018,23.129718780517578,12
28,keyboard:aula-f87-pro-기계식-다크-올리비아-한글,AULA F87 Pro 기계식 다크 올리비아 한글,AULA,Keyboard,Keyboard,47040.0,https://img.danawa.com/prod_img/500000/976/466/img/63466976_1.jpg?shrink=330:*&_v=20251211163910,22.39426040649414,13
28,mouse:asus-rog-strix-impact-iii,ASUS ROG STRIX IMPACT III,ASUS,Mouse,Mouse,57230.0,https://img.danawa.com/prod_img/500000/827/369/img/18369827_1.jpg?shrink=330:*&_v=20250219143209,22.35200309753418,14
28,keyboard:cox-cos600-무선,COX COS600 무선,COX,Keyboard,Keyboard,39000.0,https://img.danawa.com/prod_img/500000/033/886/img/73886033_1.jpg?shrink=330:*&_v=20250106133034,22.214099884033203,15
28,mouse:마이크로닉스-워프-wm1-rgb-게이밍-마우스,마이크로닉스 워프 WM1 RGB 게이밍 마우스,마이크로닉스,Mouse,Mouse,16020.0,https://img.danawa.com/prod_img/500000/250/111/img/16111250_1.jpg?shrink=330:*&_v=20220427111539,22.125707626342773,16
